iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
0.25,7,wheat,-96.247321745703999,-430.24015489832152,452.17645501095637,1.2919327286027324,350.0,240.0,0.22931144253914135,0.042111682700976552,0.16042774938387472,0.0,1815.9231988465704
0.35,8,sprayed pasture,-152.58669919648432,-582.82685409480587,0.0,1.7287259327330315,230.0,0.0,0.33801522782936122,0.0,0.3187596882629814,43.218148318325788,757.0528649399791
0.15,9,wheat,-85.00562200926052,-667.83247610406636,368.68754053377245,1.0533929729536355,350.0,153.56370336334842,0.1,0.037797263381938617,0.1499809397852787,0.0,1320.877791596161
0.25,0,wheat,-111.49024111490664,-111.49024111490664,478.40975888509337,1.366885025385981,350.0,239.9,0.3126331913134765,0.051883727465771384,0.10256410256410253,0.0,104.39681360946746
0.7,1,wheat,25.457989801571067,-86.032251313335564,616.79788400165376,1.7622796685761537,350.0,240.0,0.43261940918777519,0.10358612595955895,0.10639913528042677,0.0,305.6231055073596
0.8,2,sprayed pasture,-207.57499999999999,-293.60725131333555,0.0,2.3315915286004305,230.0,0.0,0.37272868211030202,0.0,0.2228028237998565,58.289788215010759,168.22546862709135
0.3,3,wheat,46.279900148786552,-247.32735116454899,527.39902120670286,1.5068543463048654,350.0,123.42042356997848,0.1,0.025193656235583388,0.11085753722585567,0.0,366.0715306945657
0.4,4,wheat,-12.156687462005044,-259.48403862655402,575.07477694369436,1.6430707912676981,350.0,240.0,0.21310437268780891,0.050857999612266273,0.12439863231267745,0.0,854.3244277815141
0.35,5,sprayed pasture,-177.96961562499996,-437.45365425155398,0.0,1.8762143584175488,230.0,0.0,0.32794994881129502,0.0,0.2606388148564741,46.905358960438718,371.9743927746441
0.15,6,wheat,-85.826757230274296,-523.28041148182831,379.43278085136245,1.0840936595753212,350.0,146.18928207912256,0.1,0.038249330435421496,0.12479630595227931,0.0,666.0319336717389
0.75,7,wheat,31.349735670119053,-491.93067581170925,634.8919681727989,1.8139770519222824,350.0,240.0,0.18346163803891422,0.036578344693435627,0.14415975698753902,0.0,1940.7442469961713
0.55,8,sprayed pasture,-152.58669919648432,-644.51737500819354,0.0,2.0230775018057399,230.0,0.0,0.24795770033788603,0.0,0.3256408327314201,50.576937545143494,877.0636929090799
0.2,9,wheat,-49.237022700512426,-693.75439770870594,410.7230486468938,1.1734944247054109,350.0,138.84612490971301,0.1,0.04552759549556866,0.15753619159907795,0.0,1632.1168685704436
0.5,0,wheat,60.950278083153279,60.950278083153279,650.85027808315328,1.8595722230947238,350.0,239.9,0.31090426039774494,0.058138744146828285,0.10256410256410253,0.0,128.34319526627218
0.7,1,wheat,23.539771679947631,84.490049763100913,614.77870703152382,1.7565105915186396,350.0,240.0,0.4370237544623275,0.10483986414555942,0.10807700962504319,0.0,375.0691787459677
0.55,2,sprayed pasture,-207.57499999999999,-123.08495023689908,0.0,2.3165874663830874,230.0,0.0,0.38154623938822657,0.0,0.22780417787230423,57.914686659577185,183.21015200902679
0.45,3,wheat,125.66094012169746,2.5759898847983891,620.73536220695439,1.7735296063055841,350.0,124.17062668084563,0.1,0.044237146305301643,0.11189776986788602,0.0,449.58830374360025
0.4,4,wheat,-15.200224425783233,-12.624234540984844,571.33811198405999,1.6323946056687428,350.0,240.0,0.21670573832664272,0.050963062596625607,0.12999172626008904,0.0,1043.1050019306801
0.95,5,sprayed pasture,-177.96961562499996,-190.5938501659848,0.0,2.1815443381395005,230.0,0.0,0.32856542964712571,0.0,0.27281855395349985,54.538608453487512,616.4384230906762
0.25,6,wheat,-7.9134586807311411,-198.50730884671594,470.15751852997442,1.343307195799927,350.0,130.92278309302498,0.1,0.026598181713149545,0.14095435582254767,0.0,1237.2995948400323
0.85,7,wheat,-2.7757374270975825,-201.28304627381354,586.02521955704776,1.6743577701629935,350.0,240.0,0.31150573775497503,0.072509528913177954,0.1794290750840417,0.0,3757.728546046661
0.2,8,sprayed pasture,-152.58669919648432,-353.86974547029786,0.0,1.1699820292950232,230.0,0.0,0.34606564864087908,0.0,0.4120854393943395,29.249550732375578,1346.058546728611
0.3,9,wheat,-30.835364444031221,-384.70510991432906,482.57524470955957,1.3787864134558845,350.0,181.50089853524884,0.1,0.02592291779068695,0.18581688266824214,0.0,2704.882002481493
